run,k,ke,d,drift_max,theta_rate,fig8_phase
final_candidate_v1,,,,0.265628911609317,0.004617073381318502,1.5372994962832545
dtg_visc_feedback,,,,0.3069402637735713,0.01574941153887517,2.077659117526134
dtg_nu0.01,,,,0.3340030898843558,0.015112085564869282,1.117841169469366
dtg_nu0.002,,,,0.3587717452550635,0.03659198424989759,0.9549769861696176
tune3_beta0.5_tau0.8_lyap,,,,0.3726567589171544,0.02183680276410046,1.242450923185504
dtg_nu0.0,,,,0.3726832595236712,0.020246003231559697,1.7288633904495285
tune3_beta0.5_tau1.0_lyap,,,,0.3752595027032311,0.021393867984642278,1.4736544245910925
dtg_react_v1,,,,0.397629190053078,0.014673835691474662,0.9340253593330492
tune3_beta0.6_tau0.8_lyap,,,,0.458442820446254,0.025992895119599766,1.6965644652807128
tune3_beta0.6_tau1.0_lyap,,,,0.4611255327906109,0.025740271343310306,1.6967064772108826
tune3_beta0.8_tau0.8_lyap,,,,0.6304919374066049,0.03498476961778163,0.7625186722793298
tune3_beta0.8_tau1.0_lyap,,,,0.6306025424923316,0.03437600040558615,0.7191351421532108
dtg_adapt,,,,1.1361032708492689,0.0022105285928298414,1.6321668710241777
